Firefox,https://www.mozilla.org/en-GB/firefox/new/,The browser from Mozilla - the not-for-profit working to give everyone more power online,Browser
Tor,https://www.torproject.org/projects/torbrowser.html.en,A specially modified version of Firefox that does more to protect users' privacy using the TOR network,Browser
Falkon,https://www.falkon.org/,Another free and open-source web browser,Browser
Brave,https://brave.com/,A browser that doesn't treat you like a product,Browser
Vivaldi,https://vivaldi.com/,"A freeware, cross-platform web browser with flexible customisation and control",Browser
Waterfox,https://www.waterfox.net/,"""Explore the web the way it was meant to be""",Browser
Midori,https://www.midori-browser.org/,"Fast, free & open-source",Browser
DuckDuckGo,https://duckduckgo.com/,The easiest to use privacy-conscious search engine,Search engine
Searx,https://searx.me/,"An open-source metasearch engine, which aggregates the results of other search engines without giving them users' information",Search engine
Ecosia,https://www.ecosia.org/?c=en,Ecosia use the profit they make from user searches to plant trees all over the world,Search engine
Startpage,https://www.startpage.com/,"""The world's most private search engine""",Search engine
Qwant,https://www.qwant.com/?l=en,Another privacy-focused search engine,Search engine
MetaGer,https://metager.org/,Not-for-profit offering privacy-protected search,Search engine
Mojeek,https://www.mojeek.com/,No user tracking and hosted in the UK's greenest data centre,Search engine
Apse,https://apse.io/,A personal search engine that runs on your computer,Search engine
Gexsi,https://gexsi.com/,Support the Sustainable Development Goals with your web searches,Search engine
Privado,https://www.privado.com/,Totally private search with no tracking or storage of your searches or IP address,Search engine
Posteo,https://posteo.de/en,"Powered by 100% green electricity and ad-free, Posteo costs €1 a month",Email
Mailbox.org,https://mailbox.org/en/,Secure email service founded in the wake of the Snowden revelations - also available for €1 a month,Email
Thunderbird,https://www.thunderbird.net/en-US/,The Mozilla Foundation's open-source email offering,Email
GreenNet,https://www.greennet.org.uk/,A not-for-profit collective offering hosting to supporters of the environment and human rights,Email
ProtonMail,https://protonmail.com/,Secure email based in Switzerland,Email
Tutanota,https://tutanota.com/,Tutanota claims to be the world's most secure email service,Email
FastMail,https://www.fastmail.com/,"Private and secure email, calendars, and contacts",Email
